ROUTENAME,Place
미드나이트,부천시청
인사동 스캔들,북동저수지
자유의 언덕,북촌마루한옥게스트하우스
좋아해줘,감미옥 본점
6년째 연애중,두산빌딩(구 OB호프 논현점)
연산군(장한사모편),창덕궁 후원
내시,창덕궁 후원
백년한,창덕궁
히트맨,부국증권 본사
연애의 온도,서울특별시 강남구 신사동 공터 1
리틀 포레스트,경상북도 군위군 의흥면 신덕리
사도,고창읍성
순정,사도마을회관
시동,제이힐링스포렉스
그날의 분위기,전라남도 장흥군 장흥읍 송암리 공터 1
말모이,경상북도 문경시 문경읍 고요리
우리 생애 최고의 순간,삼막사
좁은 공간,양주고등학교(구 삼숭고등학교)
찌라시 : 위험한 소문,삼육서울병원 추모관(구 삼육의료원장례식장)
송어,강원도 삼척시 노곡면 상마읍리
걷기왕,상록구청
이쁜 것들이 되어라,노을공원
이쁜 것들이 되어라,물빛문화공원
걸캅스,엠제이엔터테인먼트
"협녀, 칼의 기억",전라북도 김제시 광활면 창제리 공터 1
4등,은평구청
염력,서강8경
소셜포비아,라이즈오토그래프컬렉션(구 서교호텔)
미쓰백,인천광역시 서구청
그녀를 믿지 마세요,서대문형무소역사관
베테랑,서울오토갤러리
베테랑,스테이트타워남산
네가 좋아,중앙대학교 서울캠퍼스(구 서라벌예술학원)
찌라시 : 위험한 소문,광양항서부컨테이너터미널(구 서부터미널컨테이너보관창고)
암살,충청남도 서산시 운산면 거성리
슈퍼맨이었던 사나이,늘푸른야채가게(구 열쇠협회기술학원)
하늘을 걷는 소년,서울랜드(구 장미의언덕)
키친,서울교통공사 본사
뺑반,고봉중고등학교
오! 브라더스,용미리제2묘지
가문의 영광,서울역
추격자,서울특별시청 남산청사(구 서울특별시 도시철도공사 경영개발원)
지구에서 사는 법,서울특별시청
그것만이 내 세상,서울혜화약국(구 데상트코리아대학로점)
마의 계단,서울특별시 용산구 한남동
원더풀 고스트,서천군청
심장이 뛴다,서초구청
타투,국립수산과학원 서해수산연구소
살인자의 기억법,마을회관
악의 연대기,인천광역시 연수구 옥련동 공터 1
대호,인천광역시 연수구 옥련동 공터 1
반도,부경대학교 대연캠퍼스
사랑은 없다,설봉서원
사랑은 없다,영월암
꽃순이를 아시나요,동경우동(구 한국체육관 레슬링부)
석가모니,성균관대학교 도봉선수촌 운동장(구 성균관대학교 도봉리 야외운동장)
색즉시공,성균관대학교 자연과학캠퍼스
데드 엔드,성금리마을회관
고고70,남한산성공원
휘파람 공주,율동공원
키친,탄천종합운동장
미드나이트,성남시청
여고생 시집가기,응봉근린공원
증인,교정아파트(구 성동구치소)
돈,버들치마을성복자이2차아파트
순정만화,삼선중학교
주유소 습격사건 2,성수동구두테마공원
크로싱,아크메드라비ADLV(구 한일전자공업사)
황제를 위하여,세병교
끝까지 간다,국가대표(구 세븐일레븐 대전대화점)
런닝맨,홍선빌딩(구 세븐일레븐 삼성5호점)
소름,보령약국(구 세븐일레븐 효제점)
사도,장릉
잡아야 산다,세종북부경찰서
창(노는계집 창),벽제 오픈세트
아름다운 청년 전태일,수림문화재단(구 영화진흥공사)
협상,소굴
그녀를 믿지 마세요,소매저수지
범죄도시2,인천경제자유구역청 본청
허스토리,인천광역시 동구 송림동
아가씨,K-water 송산사업단
